StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[49, 34]",[92],[112],"[49, 34]",[False],[0],"[0.00899853999999998, 0.002944340000000007]",[0.004376520000000127],[0.0018018531799316173],"[0.0017037800000000245, 0.0073349649999999884]",[0.0],2,0.07692307692307693
"[49, 34]",[99],[116],"[48, 34]",[False],[0],"[0.005465947500000049, 0.004197257500000013]",[0.00164634000000005],[0.002104701995849674],"[0.008282007499999938, 0.0069060799999999985]",[0.0],3,0.11538461538461539
"[48, 34]",[69],[107],"[47, 35]",[False],[0],"[0.0011782675781249752, 0.003647618984375007]",[0.005198536406250164],[0.009367813840508483],"[0.004301648281249978, 0.0037676145312500447]",[0.0],9,0.3103448275862069
"[47, 35]",[100],[113],"[47, 35]",[False],[0],"[0.008826600000000037, 0.00016692999999998008]",[0.004396680000000132],[0.0035328102111816615],"[0.0025808000000000133, 0.002556960000000023]",[0.0],1,0.03225806451612903
"[47, 35]",[110],[113],"[46, 35]",[False],[0],"[0.002484307500000024, 0.00868716375000003]",[0.0071419750000001996],[0.0044767808914184335],"[0.007464711250000044, 0.008508615000000023]",[0.0],4,0.12903225806451613
"[46, 35]",[51],[103],"[46, 36]",[False],[0],"[0.00766273322265627, 0.0029052433203125266]",[0.005456957460937549],[0.001059574335813501],"[0.0025069860156250005, 0.007518799531249988]",[0.0],10,0.2222222222222222
"[46, 36]",[103],[111],"[45, 36]",[False],[0],"[0.0014778400000000184, 0.0010466300000000275]",[0.0044617600000000975],[0.003276576995849675],"[0.006932700000000016, 0.0026850400000000066]",[0.0],1,0.04
"[45, 36]",[96],[110],"[45, 36]",[False],[0],"[0.006932700000000016, 0.0026850400000000066]",[0.008368610000000054],[0.006694984436035178],"[0.0027378299999999984, 0.005975870000000029]",[0.0],1,0.03125
"[45, 36]",[58],[107],"[44, 37]",[False],[0],"[0.0024037065625000537, 0.0023213692187499593]",[0.003376318437500029],[0.0015483978390691665],"[0.00866400203125, 0.005236901562499995]",[0.0],7,0.21875
"[44, 37]",[88],[109],"[44, 37]",[False],[0],"[0.008335489999999994, 0.0015412499999999819]",[0.0007066250000000579],[0.0004556274414060941],"[0.0056745100000000145, 0.007023590000000012]",[0.0],2,0.1
"[44, 37]",[68],[104],"[44, 38]",[False],[0],"[0.007130513984375024, 0.0035173147656249893]",[0.008550598671875055],[0.0004134951531886838],"[0.005041864218750018, 0.0038035580468750406]",[0.0],8,0.4
"[44, 38]",[86],[104],"[44, 38]",[False],[0],"[0.00577489250000001, 0.0019321575000000278]",[0.004517285000000006],[0.004978356361389005],"[0.004798015000000037, 0.007819245869999988]",[0.0],3,0.17647058823529413
"[44, 38]",[54],[98],"[44, 39]",[False],[0],"[0.003477602167968767, 0.003010597441406245]",[0.003021049609375128],[0.0012990946695209012],"[0.0031019269921875245, 0.006935026328124988]",[0.0],10,0.5882352941176471
"[44, 39]",[94],[104],"[44, 39]",[False],[0],"[0.0028547249999999955, 0.0031061150000000256]",[0.006439800000000034],[0.004756460189819137],"[0.0035564550000000625, 0.006945135000000052]",[0.0],2,0.09090909090909091
"[44, 39]",[61],[97],"[44, 40]",[False],[0],"[0.0030883121874999905, 0.002938106875000018]",[0.0053505867187500795],[0.001394018828868868],"[0.004204576875000025, 0.005054392968750002]",[0.0],7,0.3181818181818182
