State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.405, -0.04499999999999999]",[-0.17500000000000004],[1.225],"[-0.405, -0.04499999999999999]",False,[50.0],2,0.07692307692307693
"[-0.405, -0.04499999999999999]",[-0.1050000000000001],[1.265],"[-0.41500000000000004, -0.04499999999999999]",False,[50.0],3,0.11538461538461539
"[-0.41500000000000004, -0.04499999999999999]",[-0.405],[1.175],"[-0.425, -0.03499999999999998]",False,[50.0],9,0.3103448275862069
"[-0.425, -0.03499999999999998]",[-0.09500000000000008],[1.235],"[-0.425, -0.03499999999999998]",False,[50.0],1,0.03225806451612903
"[-0.425, -0.03499999999999998]",[0.005],[1.235],"[-0.435, -0.03499999999999998]",False,[50.0],4,0.12903225806451613
"[-0.435, -0.03499999999999998]",[-0.5850000000000001],[1.135],"[-0.435, -0.025000000000000026]",False,[50.0],10,0.2222222222222222
"[-0.435, -0.025000000000000026]",[-0.06500000000000006],[1.215],"[-0.445, -0.025000000000000026]",False,[50.0],1,0.04
"[-0.445, -0.025000000000000026]",[-0.13500000000000012],[1.205],"[-0.445, -0.025000000000000026]",False,[50.0],1,0.03125
"[-0.445, -0.025000000000000026]",[-0.5150000000000001],[1.175],"[-0.455, -0.015000000000000017]",False,[50.0],7,0.21875
"[-0.455, -0.015000000000000017]",[-0.21500000000000008],[1.195],"[-0.455, -0.015000000000000017]",False,[50.0],2,0.1
"[-0.455, -0.015000000000000017]",[-0.41500000000000004],[1.145],"[-0.455, -0.005000000000000009]",False,[50.0],8,0.4
"[-0.455, -0.005000000000000009]",[-0.2350000000000001],[1.145],"[-0.455, -0.005000000000000009]",False,[50.0],3,0.17647058823529413
"[-0.455, -0.005000000000000009]",[-0.555],[1.085],"[-0.455, 0.005]",False,[50.0],10,0.5882352941176471
"[-0.455, 0.005]",[-0.15500000000000003],[1.145],"[-0.455, 0.005]",False,[50.0],2,0.09090909090909091
"[-0.455, 0.005]",[-0.4850000000000001],[1.075],"[-0.455, 0.01500000000000001]",False,[50.0],7,0.3181818181818182
"[-0.455, 0.01500000000000001]",[-0.13500000000000012],[1.125],"[-0.455, 0.01500000000000001]",False,[50.0],1,0.08333333333333333
"[-0.455, 0.01500000000000001]",[-0.08500000000000008],[1.125],"[-0.445, 0.01500000000000001]",False,[50.0],1,0.08333333333333333
"[-0.445, 0.01500000000000001]",[-0.4850000000000001],[1.055],"[-0.445, 0.02500000000000002]",False,[50.0],7,0.30434782608695654
"[-0.445, 0.02500000000000002]",[-0.29500000000000004],[1.095],"[-0.445, 0.02500000000000002]",False,[50.0],2,0.06896551724137931
