State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.40110606046874997, -0.050360033906250004]",[-0.20923463781249999],[1.22563197016716],"[-0.40888469250000004, -0.04512913328125]",False,[0.0],7,0.03365384615384615
"[-0.40379032728822706, -0.07088187941317875]",[-0.9399296453256607],[1.2042919855504552],"[-0.4139466219058382, -0.04866685828521306]",False,[0.0],101,0.4855769230769231
"[-0.41632005147827145, -0.0531983343586731]",[-0.7537060933474732],[1.1882704765921523],"[-0.42388687726425184, -0.03548155806640625]",False,[0.0],18,0.09278350515463918
"[-0.42117340000000003, -0.03983307]",[-0.09560331999999999],[1.2335328102111818],"[-0.42741920000000005, -0.03744304]",False,[0.0],1,0.03225806451612903
"[-0.4275156925000001, -0.031312836250000003]",[0.007141975000000085],[1.2344767808914185],"[-0.43253528874999997, -0.031491385]",False,[0.0],4,0.12903225806451613
"[-0.43233726677734374, -0.0370947566796875]",[-0.5845430425390625],[1.1310595743358134],"[-0.437493013984375, -0.022481200468750004]",False,[0.0],10,0.2222222222222222
"[-0.43852216, -0.02895337]",[-0.06553823999999994],[1.2132765769958498],"[-0.4430673, -0.02731496]",False,[0.0],1,0.04
"[-0.4430673, -0.02731496]",[-0.13163139],[1.2066949844360355],"[-0.44726217, -0.02402413]",False,[0.0],1,0.03125
"[-0.44759629343749996, -0.027678630781249998]",[-0.5166236815625],[1.1715483978390695],"[-0.45133599796875, -0.014763098437499999]",False,[0.0],7,0.21875
"[-0.49670471250000003, -0.01766479125]",[-0.094006059375],[1.1506870448589326],"[-0.49940573187500004, -0.015314643749999997]",False,[0.0],5,0.049019607843137254
"[-0.4817550048585788, -0.017952777431715736]",[-0.6519722911438197],[1.0972942994919996],"[-0.4837581411501596, -0.0016534468906939728]",False,[0.0],38,0.37254901960784315
"[-0.49801246031249996, -0.006584732812500001]",[-0.1532071925],[1.101680913567543],"[-0.498861735625, -0.002754568541250002]",False,[0.0],6,0.06382978723404255
"[-0.47621194987960025, -0.00709711761911877]",[-0.6108251381298111],[1.1219000439010305],"[-0.4765330573698384, 0.00817345339656077]",False,[0.0],41,0.43617021276595747
"[-0.5504421373730469, 0.004799042529296875]",[0.09372540650390633],[1.0523448095656933],"[-0.5497992813574218, 0.0024558913614843806]",False,[0.0],11,0.1111111111111111
"[-0.48154392333096163, 0.0030594294182914542]",[-0.600874703491617],[1.0349523618645855],"[-0.4802532516501625, 0.01808131219432822]",False,[0.0],28,0.2828282828282828
"[-0.544340935, 0.012558478749999987]",[0.02654694000000008],[1.0459670186042787],"[-0.54236697, 0.011894823749999988]",False,[0.0],4,0.04878048780487805
"[-0.45202804, 0.01660394999999999]",[-0.08139503999999997],[1.1213691711425782],"[-0.44926286, 0.018638849999999995]",False,[0.0],1,0.012195121951219513
"[-0.444538315, 0.015297675312499991]",[-0.4877914825],[1.0588395997881888],"[-0.44144029859375, 0.027492453906250013]",False,[0.0],7,0.30434782608695654
"[-0.44610282, 0.020191195000000016]",[-0.29419146500000004],[1.0932910442352293],"[-0.44248, 0.027545930000000017]",False,[0.0],2,0.06896551724137931
"[-0.442648, 0.025774720000000008]",[-0.09544837],[1.1023248672485353],"[-0.43839675, 0.028160930000000008]",False,[0.0],1,0.034482758620689655
"[-0.4391037609375, 0.021879864375000023]",[-0.42430040843750005],[1.0444112479686738],"[-0.435037230625, 0.032487381875]",False,[0.0],6,0.3
"[-0.434310025, 0.030499815]",[-0.272998725],[1.0569447040557862],"[-0.4290660300000001, 0.037324670000000004]",False,[0.0],2,0.07692307692307693
"[-0.42856210000000006, 0.03603292000000001]",[-0.060021079999999984],[1.0835797309875488],"[-0.42271674000000004, 0.03753352]",False,[0.0],1,0.03571428571428571
"[-0.42264288560546887, 0.033223810683593744]",[-0.38385554918945314],[1.0757864165119828],"[-0.41681528233398435, 0.042820219492187485]",False,[0.0],11,0.39285714285714285
