StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[5, 0]",[14],[72],"[5, 0]",[False],[0],"[0.00889393953125005, -0.0003600339062500013]",[0.0007653621874999898],[0.005631970167160064],"[0.0011153074999999835, 0.004870866718750005]",[0.0],7,0.03365384615384615
"[5, 0]",[0],[70],"[4, 0]",[False],[0],"[0.006209672711772961, -0.020881879413178747]",[-0.5899296453256607],[0.00429198555045501],"[0.006053378094161822, 0.001333141714786941]",[0.0],101,0.4855769230769231
"[4, 0]",[0],[68],"[3, 1]",[False],[0],"[0.0036799485217285724, -0.0031983343586730953]",[-0.4037060933474732],[0.008270476592152111],"[0.006113122735748237, 0.004518441933593751]",[0.0],18,0.09278350515463918
"[3, 1]",[25],[73],"[3, 1]",[False],[0],"[0.008826600000000044, 0.00016693000000000437]",[0.004396679999999981],[0.0035328102111817587],"[0.0025808000000000202, 0.0025569600000000057]",[0.0],1,0.03225806451612903
"[3, 1]",[34],[73],"[2, 1]",[False],[0],"[0.0024843074999999753, 0.008687163749999999]",[0.01714197500000004],[0.004476780891418531],"[0.007464711250000051, 0.008508615000000006]",[0.0],4,0.12903225806451613
"[2, 1]",[0],[63],"[2, 2]",[False],[0],"[0.007662733222656277, 0.0029052433203125023]",[-0.23454304253906255],[0.001059574335813598],"[0.0025069860156250075, 0.0075187995312499985]",[0.0],10,0.2222222222222222
"[2, 2]",[28],[71],"[1, 2]",[False],[0],"[0.0014778400000000254, 0.0010466300000000033]",[0.004461760000000002],[0.0032765769958497722],"[0.0069327000000000225, 0.002685040000000003]",[0.0],1,0.04
"[1, 2]",[21],[70],"[1, 2]",[False],[0],"[0.0069327000000000225, 0.002685040000000003]",[0.008368609999999986],[0.006694984436035275],"[0.0027378300000000053, 0.005975870000000001]",[0.0],1,0.03125
"[1, 2]",[0],[67],"[0, 3]",[False],[0],"[0.0024037065625000607, 0.0023213692187500044]",[-0.16662368156250007],[0.0015483978390694857],"[0.008664002031250007, 0.005236901562500005]",[0.0],7,0.21875
"[0, 3]",[25],[65],"[0, 3]",[False],[0],"[-0.036704712500000014, 0.002335208750000003]",[0.005993940624999966],[0.0006870448589325704],"[-0.039405731875000016, 0.004685356250000007]",[0.0],5,0.049019607843137254
"[0, 3]",[0],[59],"[0, 4]",[False],[0],"[-0.021755004858578786, 0.0020472225682842665]",[-0.30197229114381974],[0.007294299491999846],"[-0.023758141150159562, 0.008346553109306029]",[0.0],38,0.37254901960784315
"[0, 4]",[19],[60],"[0, 4]",[False],[0],"[-0.03801246031249994, 0.0034152671875000012]",[0.006792807499999968],[0.0016809135675429285],"[-0.038861735625000005, 0.00724543145875]",[0.0],6,0.06382978723404255
"[0, 4]",[0],[62],"[0, 5]",[False],[0],"[-0.01621194987960023, 0.002902882380881232]",[-0.2608251381298111],[0.001900043901030473],"[-0.0165330573698384, 0.00817345339656077]",[0.0],41,0.43617021276595747
"[0, 5]",[34],[55],"[0, 5]",[False],[0],"[-0.0904421373730469, 0.004799042529296875]",[0.10372540650390628],[0.002344809565693306],"[-0.08979928135742182, 0.0024558913614843806]",[0.0],11,0.1111111111111111
"[0, 5]",[0],[53],"[0, 6]",[False],[0],"[-0.021543923330961612, 0.0030594294182914542]",[-0.250874703491617],[0.004952361864585491],"[-0.020253251650162507, 0.008081312194328224]",[0.0],28,0.2828282828282828
"[0, 6]",[34],[54],"[0, 6]",[False],[0],"[-0.084340935, 0.002558478749999992]",[0.036546940000000035],[0.005967018604278642],"[-0.08236696999999998, 0.001894823749999993]",[0.0],4,0.04878048780487805
"[0, 6]",[26],[62],"[1, 6]",[False],[0],"[0.00797196, 0.006603949999999994]",[0.008604959999999998],[0.0013691711425781565],"[0.0007371400000000337, 0.00863885]",[0.0],1,0.012195121951219513
"[1, 6]",[0],[55],"[1, 7]",[False],[0],"[0.005461685000000003, 0.005297675312499996]",[-0.1377914825],[0.008839599788188745],"[0.008559701406250017, 0.007492453906250007]",[0.0],7,0.30434782608695654
"[1, 7]",[5],[59],"[1, 7]",[False],[0],"[0.0038971800000000088, 0.00019119500000001032]",[0.005808534999999936],[0.00329104423522948],"[0.007520000000000035, 0.0075459300000000114]",[0.0],2,0.06896551724137931
"[1, 7]",[25],[60],"[2, 7]",[False],[0],"[0.007352000000000034, 0.005774720000000002]",[0.004551629999999968],[0.002324867248535277],"[0.0016032500000000179, 0.008160930000000002]",[0.0],1,0.034482758620689655
"[2, 7]",[0],[54],"[2, 8]",[False],[0],"[0.0008962390625000434, 0.0018798643750000173]",[-0.07430040843750008],[0.004411247968673784],"[0.004962769375000026, 0.002487381875]",[0.0],6,0.3
"[2, 8]",[7],[55],"[3, 8]",[False],[0],"[0.005689975000000031, 0.0004998150000000007]",[0.007001274999999979],[0.00694470405578621],"[0.0009339699999999767, 0.007324670000000005]",[0.0],2,0.07692307692307693
"[3, 8]",[28],[58],"[3, 8]",[False],[0],"[0.001437900000000018, 0.006032920000000011]",[0.009978919999999968],[0.0035797309875487716],"[0.00728326000000004, 0.007533520000000002]",[0.0],1,0.03571428571428571
"[3, 8]",[0],[57],"[4, 9]",[False],[0],"[0.0073571143945312095, 0.0032238106835937447]",[-0.03385554918945316],[0.005786416511982801],"[0.00318471766601567, 0.0028202194921874927]",[0.0],11,0.39285714285714285
"[4, 9]",[10],[56],"[5, 9]",[False],[0],"[0.005042367500000013, 0.0013937900000000007]",[0.0032768949999999776],[0.008791270256042469],"[0.0019943425000000115, 0.007561854999999987]",[0.0],3,0.11538461538461539
"[5, 9]",[0],[52],"[5, 10]",[False],[0],"[0.0006649812500000175, 0.006567724999999991]",[0.004638614999999957],[0.0021064567565918305],"[0.00857630500000005, 0.0052017687500000055]",[0.0],4,0.14814814814814814
"[5, 10]",[27],[51],"[6, 10]",[False],[0],"[0.007816099101562545, 0.0050945613671875035]",[0.005311749062499994],[0.008727049976587463],"[0.006730781289062512, 0.006961695039062497]",[0.0],9,0.3103448275862069
"[6, 10]",[31],[54],"[7, 10]",[False],[0],"[0.004935876662597701, 0.002197636682128915]",[0.0077286541162109226],[0.00416546013671917],"[0.003330546564941422, 0.0030044046435546874]",[0.0],13,0.48148148148148145
"[7, 10]",[0],[50],"[8, 11]",[False],[0],"[0.00542997437500004, 0.004503976874999999]",[-0.1653901562500001],[0.005869251489639227],"[0.004837794374999996, 0.007388730000000008]",[0.0],5,0.16666666666666666
